zip,lat,lon
02540,41.577709999999996,-70.62077905124372
02542,41.704075,-70.54359968964879
02543,41.478556,-70.77163968958743
02553,41.711149500000005,-70.62414204802053
02554,41.31830600000001,-70.01879901362294
02556,41.637729,-70.63036435372189
02557,41.447160499999995,-70.5585144890388
02558,41.742402999999996,-70.6618994509974
02559,41.6940725,-70.61564814023978
02561,41.766347499999995,-70.53320073044924
02562,41.7922465,-70.53223715364584
02563,41.7370555,-70.50326504652625
02564,41.2695825,-69.98722011524441
02568,41.453286000000006,-70.61224258374384
02571,41.7474965,-70.71142324141026
02575,41.4013445,-70.65933930373829
02576,41.779645,-70.7676947996656
02584,41.257487499999996,-70.00573831287426
02601,41.657637,-70.29903132411977
02630,41.700022,-70.30324215223881
02631,41.7472395,-70.0679788683155
02632,41.655694499999996,-70.3497604858871
02633,41.688282,-69.97386491304027
02635,41.6216935,-70.4358318517658
02637,41.705652,-70.27201217886483
02638,41.732266499999994,-70.20384722473561
02639,41.6702915,-70.1344539419803
02641,41.7523925,-70.16448242119566
02642,41.836928,-69.97186994399539
02643,41.766408999999996,-69.93547795442774
02644,41.685388,-70.5104766309227
02645,41.70392,-70.06935804697986
02646,41.670420500000006,-70.0692219167646
02647,41.630729,-70.3114680099869
02648,41.6699795,-70.417795129772
02649,41.6163925,-70.49049386894535
02650,41.702807,-69.9612975445265
02652,42.044492500000004,-70.08412985914657
02653,41.769252,-69.97694051437959
02655,41.6328385,-70.38289280312868
02657,42.0508555,-70.20610545824573
02659,41.683108000000004,-70.02132234943639
02660,41.7094785,-70.15735013239131
02663,41.911852499999995,-69.97513898311163
02664,41.670831,-70.19371666726619
02666,41.993958,-70.04547880209614
02667,41.920295499999995,-70.00552151477832
02668,41.7083055,-70.37670238262712
02670,41.660537500000004,-70.16990396751967
02671,41.6685185,-70.11055829674623
02672,41.634962,-70.32225994379294
02673,41.6486765,-70.24844936782478
02675,41.7072515,-70.22149699614567
02702,41.7855345,-71.06511146727163
02703,41.940007,-71.28493342880905
02713,41.426175,-70.89464816806526
02715,41.8170145,-71.15416685958519
02717,41.751674,-70.99239821723867
02718,41.8723875,-71.01597408129655
02719,41.631254,-70.87623200059748
02720,41.729628500000004,-71.11811977192528
02721,41.655984000000004,-71.1298600133316
02723,41.693025,-71.1300581462585
02724,41.683860499999994,-71.1812891455725
02725,41.710412500000004,-71.1834833608314
02726,41.7573695,-71.14324214441714
02738,41.715726000000004,-70.76048650834993
02739,41.6604535,-70.80432606477058
02740,41.635419999999996,-70.93613158105632
02743,41.7129185,-70.90103271757712
02744,41.6072045,-70.91015447297238
02745,41.708966000000004,-70.95103819303797
02746,41.6685455,-70.95484955666115
02747,41.652575,-71.01224917702552
02748,41.560426500000005,-70.98240358135044
02760,41.964847,-71.3471547513083
02762,42.01663,-71.33487385910182
02763,41.9654905,-71.30635018850967
02764,41.855808999999994,-71.1576588945639
02766,41.961105,-71.19043967330367
02767,41.943670499999996,-71.05247297387649
02769,41.843529000000004,-71.24722820786855
02770,41.7531435,-70.83549876386908
02771,41.838784000000004,-71.31722447011687
02777,41.753557,-71.20997799957865
02779,41.825574,-71.07102047794405
02780,41.9124415,-71.13121524931177
02790,41.605973500000005,-71.08805574906015
02791,41.5241185,-71.08109675663717
02802,41.950615,-71.45325849478911
02804,41.435658000000004,-71.76135781498388
02806,41.728138,-71.32189885203854
02807,41.190423,-71.57983671751111
02808,41.4028325,-71.74615189473684
02809,41.677327000000005,-71.27363447229475
02812,41.478237500000006,-71.65924465892765
02813,41.395861499999995,-71.67213520585616
02814,41.894049,-71.6977253588199
02815,41.773676,-71.6563678757928
02816,41.694281000000004,-71.60228770422535
02817,41.629471,-71.66708889622103
02818,41.643118,-71.49435186699507
02822,41.553107,-71.56181208270398
02823,41.734425,-71.54521228215089
02824,42.0000135,-71.56286709351465
02825,41.790597500000004,-71.73565816964519
02826,41.982687999999996,-71.6524762792939
02827,41.691720000000004,-71.73016436478261
02828,41.880351000000005,-71.56395833490345
02829,41.892697999999996,-71.59066994556025
02830,41.973057,-71.67016150930996
02831,41.748887499999995,-71.57264427530943
02832,41.500387,-71.73969334510308
02833,41.4775295,-71.7783433189295
02835,41.5097835,-71.37153239319521
02836,41.4538725,-71.6195962997655
02837,41.5083635,-71.1640884520548
02838,41.9635765,-71.47556305292144
02839,41.946735,-71.64539724947326
02840,41.4834065,-71.31318361842315
02841,41.5129695,-71.32699140437336
02842,41.51553,-71.27189851170299
02852,41.587627499999996,-71.46093227437683
02857,41.8190415,-71.62544097894775
02858,41.962831,-71.64872304824561
02859,41.969479500000006,-71.74793406789189
02860,41.8692725,-71.39199020618628
02861,41.8785425,-71.35225993418825
02863,41.890575999999996,-71.39472270555356
02864,41.955952499999995,-71.4186691434355
02865,41.916996499999996,-71.4480321271194
02871,41.586115,-71.27069905524911
02872,41.623442499999996,-71.31597649110424
02873,41.523653499999995,-71.77188483615443
02874,41.516591,-71.46857530721846
02875,41.464914,-71.63680656293707
02876,41.998033,-71.58319638635223
02878,41.609457,-71.17784318573152
02879,41.4270695,-71.5480405686779
02881,41.48125,-71.5285885573945
02882,41.4235705,-71.47361049479554
02885,41.725967499999996,-71.26275373824453
02886,41.705762500000006,-71.46550245783132
02888,41.750313500000004,-71.41078663838383
02889,41.695303499999994,-71.36821327395984
02891,41.361073000000005,-71.78402176142839
02892,41.5127065,-71.60479124033208
02893,41.696909500000004,-71.52574951318807
02894,41.448287,-71.69722716422385
02895,41.9984155,-71.50201967390564
02896,41.974588,-71.54382367648742
02898,41.5198355,-71.66974520614036
02903,41.818112,-71.40682210072167
02904,41.854595,-71.42575954587946
